scenario,task,target,model,n,mae,rmse,mape,smape,r2,spearman,prediction_interval_95_coverage,prediction_interval_80_coverage,accuracy,balanced_accuracy,macro_f1,precision_decrease,recall_decrease,f1_decrease,support_decrease,precision_increase,recall_increase,f1_increase,support_increase,precision_stable,recall_stable,f1_stable,support_stable,roc_auc_ovr_macro,pr_auc_ovr_macro,precision_A,recall_A,f1_A,support_A,precision_B,recall_B,f1_B,support_B,precision_both,recall_both,f1_both,support_both,precision_uncertain,recall_uncertain,f1_uncertain,support_uncertain,precision_not_increase,recall_not_increase,f1_not_increase,support_not_increase,roc_auc,pr_auc
malaysia_only,regression,target_next_positivity_rate,prophet,242,0.1056895668253596,0.1222741729021199,2.149556361737488,0.7038525652837636,-1.2420618349313113,0.105521476028885,0.7272727272727273,0.4710743801652892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
malaysia_only,regression,target_next_positivity_rate,elastic_net,242,0.1267984558444236,0.1719522932403843,1.8513489513374364,0.7228773572085595,-3.433983398828172,0.6116715610930602,0.6611570247933884,0.5041322314049587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
malaysia_only,regression,target_next_positivity_rate,random_forest,242,0.0942537353099532,0.1034937437456158,1.2769573382128518,0.6538902356751451,-0.606224747535002,0.767212077862357,0.3264462809917355,0.1570247933884297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
malaysia_only,regression,target_next_positivity_rate,xgboost,242,0.0744716302444104,0.0848860515106586,1.0804222633376828,0.5735942124803708,-0.0805647201710197,0.6797427901850268,0.6859504132231405,0.4338842975206611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
malaysia_only,regression,target_next_positivity_rate,lightgbm,242,0.0786170375986349,0.0890594055468886,1.056838899720841,0.5813340447070883,-0.1894267524776944,0.7377223210186443,0.4793388429752066,0.2520661157024793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
malaysia_only,regression,target_next_A_rate,seasonal_naive,306,0.0692797761758352,0.1015140392662642,1.4051035029050485,1.1454046115072385,-0.7156599226635882,0.1875896387179205,0.915032679738562,0.8725490196078431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
malaysia_only,regression,target_next_A_rate,moving_average,306,0.0261723978250254,0.0460063192775849,0.5610721787057972,0.4817479494551589,0.6476177965383176,0.8990844344516129,0.9705882352941176,0.9183006535947712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
malaysia_only,regression,target_next_A_rate,sarimax,306,0.0735766366853199,0.1065309389459988,0.9995018760876918,1.9983412023115448,-0.8894286589694329,-0.4838770875568907,0.6862745098039216,0.5032679738562091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
malaysia_only,regression,target_next_A_rate,prophet,306,0.0887489145316526,0.0988837866002175,3.173234392245689,1.0465727729337126,-0.6279054089796088,0.5408028408196405,0.9836601307189542,0.8300653594771242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
malaysia_only,regression,target_next_A_rate,elastic_net,306,0.0580123184417026,0.0824564174908513,0.9778038575481588,1.037205735516428,-0.1319517434054609,,0.931372549019608,0.8594771241830066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
malaysia_only,regression,target_next_A_rate,random_forest,306,0.0472319531203812,0.0546385943159979,1.4251175575025463,0.9159010171126474,0.5029752399745082,0.9380010323678912,0.9575163398692812,0.7745098039215687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
malaysia_only,regression,target_next_A_rate,xgboost,306,0.047317555095395,0.0553548786566229,1.5678491784210575,0.9254384246071208,0.4898583353605965,0.9348844149401796,0.934640522875817,0.6143790849673203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
malaysia_only,regression,target_next_A_rate,lightgbm,306,0.0464418829635851,0.0561426268902334,1.4978555365513126,0.9219449315039896,0.4752355004081073,0.9220051555554438,0.803921568627451,0.5620915032679739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
malaysia_only,regression,target_next_B_rate,seasonal_naive,306,0.0510473633817513,0.0803966574439571,3.72901266097137,1.5208605097948669,-1.5557110388622153,0.0844763145056018,0.8496732026143791,0.6895424836601307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
malaysia_only,regression,target_next_B_rate,moving_average,306,0.0103227572314551,0.0214860699069537,0.5997361089307639,0.5779189709019169,0.8174634946699884,0.9201206316399728,0.9509803921568628,0.931372549019608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
malaysia_only,regression,target_next_B_rate,sarimax,306,0.0291976941406756,0.0581315782700717,0.9982646397278786,1.994591005340786,-0.3361646915565452,-0.3338333928537931,0.803921568627451,0.7352941176470589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
malaysia_only,regression,target_next_B_rate,prophet,306,0.0628011013220187,0.06903378168893,9.023975802371185,1.3991945764696296,-0.8843392416581837,0.5955795099348761,0.9673202614379084,0.6993464052287581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
malaysia_only,regression,target_next_B_rate,elastic_net,306,0.0283058436043548,0.0518309423194791,1.716841559611528,1.2115257185871553,-0.0622187719526556,,0.915032679738562,0.8464052287581699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
malaysia_only,regression,target_next_B_rate,random_forest,306,0.0307965618765478,0.0401188465148459,3.748207686843388,1.2602243035268614,0.3635963841673877,0.9217825198075954,0.8235294117647058,0.6372549019607843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
malaysia_only,regression,target_next_B_rate,xgboost,306,0.0367242283709686,0.0454769485215273,5.276487351337867,1.328812509730851,0.1822540630013117,0.9186264122969278,0.5816993464052288,0.3823529411764705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
malaysia_only,regression,target_next_B_rate,lightgbm,306,0.0254794428860039,0.0359038700974582,3.393702835610589,1.1980369078248874,0.4902957078622831,0.9003729534608176,0.8137254901960784,0.5228758169934641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
malaysia_only,classification,target_trend,logistic_regression,235,,,,,,,,,0.2978723404255319,0.3412014885699096,0.1934705245242147,0.2883720930232558,0.9393939393939394,0.4412811387900356,66.0,0.0,0.0,0.0,74.0,0.4,0.0842105263157894,0.1391304347826087,95.0,0.5113660883366921,0.3482493346863148,,,,,,,,,,,,,,,,,,,,,,
malaysia_only,classification,target_trend,random_forest,235,,,,,,,,,0.2808510638297872,0.316374269005848,0.194806300553427,0.282051282051282,0.8333333333333334,0.421455938697318,66.0,0.0,0.0,0.0,74.0,0.275,0.1157894736842105,0.1629629629629629,95.0,0.4425766443668221,0.3106126945223603,,,,,,,,,,,,,,,,,,,,,,
malaysia_only,classification,target_trend,lightgbm,235,,,,,,,,,0.3574468085106383,0.314233372128109,0.2480995967140657,0.2666666666666666,0.1818181818181818,0.2162162162162162,66.0,0.5,0.0135135135135135,0.0263157894736842,74.0,0.3776595744680851,0.7473684210526316,0.5017667844522968,95.0,0.4970337496371645,0.3392772949191955,,,,,,,,,,,,,,,,,,,,,,
malaysia_only,classification,target_trend,lstm,223,,,,,,,,,0.3004484304932735,0.3189217716071936,0.2799143055701379,0.2830188679245283,0.238095238095238,0.2586206896551724,63.0,0.2836879432624113,0.5882352941176471,0.3827751196172249,68.0,0.4137931034482758,0.1304347826086956,0.1983471074380165,92.0,0.5325336120158729,0.3684481512913751,,,,,,,,,,,,,,,,,,,,,,
malaysia_only,classification,target_trend,gru,223,,,,,,,,,0.3677130044843049,0.3370749265889931,0.3280223363495557,0.2456140350877192,0.2222222222222222,0.2333333333333333,63.0,0.5,0.1911764705882352,0.2765957446808511,68.0,0.3928571428571428,0.5978260869565217,0.4741379310344827,92.0,0.4687165209422728,0.3424255186364208,,,,,,,,,,,,,,,,,,,,,,
malaysia_only,classification,target_trend,temporal_cnn,223,,,,,,,,,0.3228699551569506,0.3184650671862948,0.2703339875098752,0.3,0.5238095238095238,0.3815028901734104,63.0,0.2222222222222222,0.0294117647058823,0.0519480519480519,68.0,0.3557692307692308,0.4021739130434782,0.3775510204081632,92.0,0.5043510450561081,0.3694864578458394,,,,,,,,,,,,,,,,,,,,,,
malaysia_only,classification,target_subtype_driver,lstm,294,,,,,,,,,0.4863945578231292,0.2600293542074364,0.2152998236331569,,,,,,,,,,,,,0.5108138831849922,0.3063365496741415,0.4285714285714285,0.1428571428571428,0.2142857142857142,84.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,9.0,0.5057915057915058,0.8972602739726028,0.6469135802469136,146.0,,,,,,
malaysia_only,classification,target_subtype_driver,gru,294,,,,,,,,,0.4863945578231292,0.2644317440550317,0.2286073409623402,,,,,,,,,,,,,0.5111305656391639,0.2698784520086721,0.4782608695652174,0.1309523809523809,0.205607476635514,84.0,0.1176470588235294,0.0363636363636363,0.0555555555555555,55.0,0.0,0.0,0.0,9.0,0.5158730158730159,0.8904109589041096,0.6532663316582915,146.0,,,,,,
malaysia_only,classification,target_subtype_driver,temporal_cnn,294,,,,,,,,,0.4965986394557823,0.25,0.1659090909090909,,,,,,,,,,,,,0.4047996633185285,0.2282548887733823,0.0,0.0,0.0,84.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,9.0,0.4965986394557823,1.0,0.6636363636363637,146.0,,,,,,
malaysia_only,classification,target_increase_binary,logistic_regression,235,,,,,,,,,0.6425531914893617,0.4725952660735269,0.4022529069767442,,,,,0.0833333333333333,0.0135135135135135,0.0232558139534883,74.0,,,,,,,,,,,,,,,,,,,,,,,0.672645739910314,0.9316770186335404,0.78125,161.0,0.5282021151586369,0.3189991402599466
malaysia_only,classification,target_increase_binary,random_forest,235,,,,,,,,,0.6851063829787234,0.5,0.4065656565656566,,,,,0.0,0.0,0.0,74.0,,,,,,,,,,,,,,,,,,,,,,,0.6851063829787234,1.0,0.8131313131313131,161.0,0.5156958200436461,0.3381368476126338
malaysia_only,classification,target_increase_binary,lightgbm,235,,,,,,,,,0.6808510638297872,0.5005455766325332,0.4175671656587687,,,,,0.3333333333333333,0.0135135135135135,0.0259740259740259,74.0,,,,,,,,,,,,,,,,,,,,,,,0.6853448275862069,0.9875776397515528,0.8091603053435115,161.0,0.5522914218566393,0.3846558302319404
transfer_malaysia,regression,target_next_INF_A,seasonal_naive,306,48.1797385620915,73.99829975082584,1.4047893388125772,1.1747622109392877,0.0378734182077907,0.506487800616139,0.8823529411764706,0.6830065359477124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_malaysia,regression,target_next_INF_A,moving_average,306,24.59640522875817,43.99544131167627,0.6214818574770523,0.5109943066441515,0.6599019920629834,0.9181972946948924,0.8202614379084967,0.7156862745098039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_malaysia,regression,target_next_INF_A,sarimax,306,68.19989680823772,101.61780714298165,0.9992694701800614,1.9976407803236416,-0.8143804972373692,-0.4111948707715782,0.2908496732026144,0.2647058823529412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_malaysia,regression,target_next_INF_A,prophet,306,57.17558503652813,87.82535097519413,1.162439391206571,1.246616961929976,-0.3552784083229316,0.6001775261731479,0.4934640522875817,0.4150326797385621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_malaysia,regression,target_next_INF_A,elastic_net,306,26.724463587265248,36.13853747666247,1.519085448353217,0.8412481744832799,0.7705279070268569,0.9535797931740536,0.5392156862745098,0.4248366013071895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_malaysia,regression,target_next_INF_A,random_forest,306,170.24935302757166,204.50911892502705,6.727161746579956,1.3612529638906203,-6.348760380968328,0.9028860706816464,0.2581699346405229,0.2549019607843137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_malaysia,regression,target_next_INF_A,xgboost,306,18.38151848939509,28.66564627579758,0.4800658282063878,0.6947510697212,0.855618281601216,0.9550017842552576,0.5849673202614379,0.4967320261437908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_malaysia,regression,target_next_INF_A,lightgbm,306,168.37313564393656,203.42221091089536,8.348090638455597,1.3457242367585462,-6.270854797691248,0.7699183771241065,0.2581699346405229,0.2581699346405229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_malaysia,regression,target_next_INF_B,seasonal_naive,306,41.15686274509804,70.75614017559903,3.588746032539303,1.5200933683386948,-1.2049067923997887,0.276533512696872,0.5032679738562091,0.4477124183006536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_malaysia,regression,target_next_INF_B,moving_average,306,9.634803921568627,20.79812220501894,0.6128135465729257,0.6045395931736327,0.8094933152242533,0.9467733196797192,0.7091503267973857,0.6143790849673203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_malaysia,regression,target_next_INF_B,sarimax,306,27.227723751126018,54.863058682445086,0.9945484415912276,1.984086206721392,-0.3256290137748838,-0.4775036471601102,0.5,0.4379084967320261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_malaysia,regression,target_next_INF_B,prophet,306,24.9142089374014,50.35255060773699,1.3632151393874246,1.2353055802080493,-0.1166187529786355,0.6287991866568905,0.7254901960784313,0.6862745098039216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_malaysia,regression,target_next_INF_B,elastic_net,306,7.28545846382918,14.928824905139887,0.5886228657993637,0.8239666486559593,0.90184482158178,0.9580212985910944,0.7287581699346405,0.6339869281045751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_malaysia,regression,target_next_INF_B,random_forest,306,13.050081260589478,36.52462960713385,0.5140301212272298,0.8740332112329954,0.4124651812932426,0.9544247984242336,0.7222222222222222,0.6339869281045751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_malaysia,regression,target_next_INF_B,xgboost,306,12.468562295185585,34.129339424953386,0.50912557353895,0.8591799761928546,0.486999565219069,0.9595463104144444,0.7026143790849673,0.6274509803921569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_malaysia,regression,target_next_INF_B,lightgbm,306,13.092265405720818,36.03607703714201,0.5075585039925319,0.8705384609133602,0.4280777647811744,0.9512522873889496,0.6764705882352942,0.5947712418300654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_malaysia,regression,target_next_INF_ALL,seasonal_naive,242,74.86363636363636,96.46626181946456,1.204288479400513,0.7873900231811066,-0.4023635998438553,0.3229794231963335,0.7107438016528925,0.5495867768595041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_malaysia,regression,target_next_INF_ALL,moving_average,242,37.450413223140494,53.60755678659586,0.7020911780518401,0.3961107557439961,0.5669263499400047,0.8304293275900019,0.7396694214876033,0.5702479338842975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_malaysia,regression,target_next_INF_ALL,sarimax,242,120.0925782288173,145.1889899313195,1.0382589893470775,1.9137633761888675,-2.176706557402482,-0.0863902840726157,0.0950413223140495,0.0785123966942148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_malaysia,regression,target_next_INF_ALL,prophet,242,91.1811441868838,117.7310921211956,1.3801585273198145,1.0288649213586112,-1.0887770020577383,0.1958020582958925,0.2314049586776859,0.128099173553719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_malaysia,regression,target_next_INF_ALL,elastic_net,242,36.53842677397323,44.41173428675764,0.9023784661993676,0.419603932651525,0.7027614067277854,0.9286429493199888,0.4380165289256198,0.3099173553719008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_malaysia,regression,target_next_INF_ALL,random_forest,242,163.26294970577027,178.49766693717538,2.5056573907686546,0.9170231953906118,-3.801476633838152,0.7726279115373947,0.0578512396694214,0.0537190082644628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_malaysia,regression,target_next_INF_ALL,xgboost,242,37.25332648300928,47.46549886112861,0.5808820714192965,0.3779645994020678,0.6604796335127345,0.8588760384226046,0.3305785123966942,0.2479338842975206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_malaysia,regression,target_next_INF_ALL,lightgbm,242,238.4833716853999,252.0448464639041,4.6645310876862816,1.057673962038496,-8.573381710444762,0.7544323769463973,0.0537190082644628,0.0495867768595041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_malaysia,regression,target_next_positivity_rate,seasonal_naive,242,0.0853567381708815,0.1033638291827513,1.45456250625477,0.6941915024313897,-0.6021947258822595,0.0992777158403117,1.0,0.9793388429752066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_malaysia,regression,target_next_positivity_rate,moving_average,242,0.0404674718686139,0.0566241230728018,0.5148061498708513,0.3547330377326594,0.5191815801087276,0.7817055818130898,0.9917355371900828,0.9669421487603306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_malaysia,regression,target_next_positivity_rate,sarimax,242,0.123489017217737,0.1476525510147485,0.9994551996717216,1.7087997527141463,-2.269339547204208,-0.0418210441353576,0.5,0.3181818181818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_malaysia,regression,target_next_positivity_rate,prophet,242,0.1056895668253596,0.1222741729021199,2.149556361737488,0.7038525652837636,-1.2420618349313113,0.105521476028885,0.7272727272727273,0.4710743801652892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_malaysia,regression,target_next_positivity_rate,elastic_net,242,0.0261508103852617,0.0372158093263665,0.4868157549690113,0.2647292353614545,0.7923016462050994,0.887033901408569,1.0,0.9793388429752066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_malaysia,regression,target_next_positivity_rate,random_forest,242,0.0329969613031325,0.0400120616233213,0.5221711466198792,0.3329233989533325,0.7599177920840461,0.9176946796636418,0.9669421487603306,0.859504132231405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_malaysia,regression,target_next_positivity_rate,xgboost,242,0.0268595445700085,0.0347824747868447,0.4228326320813187,0.2726489130860013,0.8185741876258861,0.9156741273112736,1.0,0.9958677685950412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_malaysia,regression,target_next_positivity_rate,lightgbm,242,0.0246649899646446,0.0322157673013733,0.3779429360799412,0.2582319762752655,0.844362201984473,0.9247095730808962,1.0,0.9917355371900828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_malaysia,regression,target_next_A_rate,seasonal_naive,306,0.0692797761758352,0.1015140392662642,1.4051035029050485,1.1454046115072385,-0.7156599226635882,0.1875896387179205,0.9640522875816994,0.915032679738562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_malaysia,regression,target_next_A_rate,moving_average,306,0.0261723978250254,0.0460063192775849,0.5610721787057972,0.4817479494551589,0.6476177965383176,0.8990844344516129,0.9869281045751634,0.9444444444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_malaysia,regression,target_next_A_rate,sarimax,306,0.0735766366853199,0.1065309389459988,0.9995018760876918,1.9983412023115448,-0.8894286589694329,-0.4838770875568907,0.6862745098039216,0.5032679738562091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_malaysia,regression,target_next_A_rate,prophet,306,0.0887489145316526,0.0988837866002175,3.173234392245689,1.0465727729337126,-0.6279054089796088,0.5408028408196405,0.9836601307189542,0.8300653594771242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_malaysia,regression,target_next_A_rate,elastic_net,306,0.0210485793227031,0.0277821680824257,0.5808217984260587,0.6806642087984252,0.8714975944326163,0.9559588852400324,0.9967320261437908,0.9901960784313726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_malaysia,regression,target_next_A_rate,random_forest,306,0.0191017183099624,0.0273510957418225,0.5272482120406454,0.6715400175352144,0.8754543830472353,0.948653935352394,1.0,0.9869281045751634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_malaysia,regression,target_next_A_rate,xgboost,306,0.0209954152229895,0.0282266880199432,0.5336194142994598,0.6891302858827091,0.8673525715122674,0.9539171625676892,0.9967320261437908,0.9934640522875816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_malaysia,regression,target_next_A_rate,lightgbm,306,0.0198606063676616,0.0271515354736844,0.4905811641142998,0.6766864779161125,0.8772651832596123,0.9557759513831804,0.9967320261437908,0.9901960784313726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_malaysia,regression,target_next_B_rate,seasonal_naive,306,0.0510473633817513,0.0803966574439571,3.72901266097137,1.5208605097948669,-1.5557110388622153,0.0844763145056018,0.9509803921568628,0.8954248366013072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_malaysia,regression,target_next_B_rate,moving_average,306,0.0103227572314551,0.0214860699069537,0.5997361089307639,0.5779189709019169,0.8174634946699884,0.9201206316399728,0.9967320261437908,0.9607843137254902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_malaysia,regression,target_next_B_rate,sarimax,306,0.0291976941406756,0.0581315782700717,0.9982646397278786,1.994591005340786,-0.3361646915565452,-0.3338333928537931,0.803921568627451,0.7352941176470589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_malaysia,regression,target_next_B_rate,prophet,306,0.0628011013220187,0.06903378168893,9.023975802371185,1.3991945764696296,-0.8843392416581837,0.5955795099348761,0.9673202614379084,0.6993464052287581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_malaysia,regression,target_next_B_rate,elastic_net,306,0.0117202655957301,0.0156393576477699,1.3722013318784918,0.9322430677780283,0.903289509570086,0.9322844961326312,1.0,0.9934640522875816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_malaysia,regression,target_next_B_rate,random_forest,306,0.0091823072346632,0.0153609786607303,0.7844995762681739,0.8344441933534713,0.9067017420957,0.9272539022913172,1.0,0.9869281045751634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_malaysia,regression,target_next_B_rate,xgboost,306,0.0095564081503099,0.0151060560928105,1.2202244340027133,0.8978197326684715,0.9097727026313644,0.9212758241993452,1.0,0.9869281045751634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_malaysia,regression,target_next_B_rate,lightgbm,306,0.0088909114494292,0.0156082831236185,0.9156497783567196,0.8648882737130077,0.9036734443740878,0.9327727349190847,0.9934640522875816,0.9803921568627452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_malaysia,classification,target_increase_binary,random_forest,235,,,,,,,,,0.6851063829787234,0.5,0.4065656565656566,,,,,0.0,0.0,0.0,74.0,,,,,,,,,,,,,,,,,,,,,,,0.6851063829787234,1.0,0.8131313131313131,161.0,0.5952660735269432,0.4269632341085007
transfer_malaysia,classification,target_increase_binary,lightgbm,235,,,,,,,,,0.7021276595744681,0.5416316938056068,0.5018774224806202,,,,,0.6666666666666666,0.1081081081081081,0.1860465116279069,74.0,,,,,,,,,,,,,,,,,,,,,,,0.7040358744394619,0.9751552795031057,0.8177083333333334,161.0,0.6405909014604667,0.4801935534079374
transfer_uae,regression,target_next_INF_A,seasonal_naive,66,84.27272727272727,133.2195726815491,1.0341964201069431,0.5857721602941888,0.2738327920606729,0.6131632269617769,0.8636363636363636,0.7575757575757576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_INF_A,moving_average,66,76.71212121212122,128.47486784062735,0.6930283555915747,0.4496680332756696,0.3246375349933563,0.7823232245070282,0.7727272727272727,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_INF_A,sarimax,66,104.6869393803434,151.59572135351448,1.7317245314199206,0.7367974981178804,0.0596826519105792,0.461941547401846,0.3333333333333333,0.2424242424242424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_INF_A,prophet,66,121.07318838442497,144.09843056114818,2.7200259938537545,0.8154416220185352,0.1503910822863468,0.4456367456428709,0.1666666666666666,0.106060606060606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_INF_A,elastic_net,66,27.73688522704928,47.02600891792366,0.3429553442446137,0.2439454146268146,0.9095149554635,0.9318789194819088,0.8939393939393939,0.803030303030303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_INF_A,random_forest,66,26.60557916932048,44.48028531479534,0.4161746088678723,0.2475941863971825,0.919046488947096,0.9130480216757688,0.8333333333333334,0.6818181818181818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_INF_A,xgboost,66,28.084492654511426,48.493035777705785,0.3801822774359508,0.2463482065504706,0.9037813395546505,0.9267424544284364,0.8636363636363636,0.6818181818181818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_INF_A,lightgbm,66,26.703276184393246,44.68325164706934,0.3802074321716514,0.2405420011699526,0.9183060114714204,0.9317536585208924,0.8484848484848485,0.7272727272727273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_INF_B,seasonal_naive,66,41.833333333333336,50.48327055630019,2.0929650189975946,1.0089657735659792,-1.6974399720088056,0.2094696990580247,0.4848484848484848,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_INF_B,moving_average,66,12.068181818181818,17.037781101084875,0.5933610381313458,0.4195588881055205,0.692756367267797,0.7912194252877325,0.7727272727272727,0.6060606060606061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_INF_B,sarimax,66,122.988402260301,132.77898131306725,9.781253132039792,1.3457077508786703,-17.660165351882895,-0.4667822895857345,0.0757575757575757,0.0757575757575757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_INF_B,prophet,66,40.201019522818655,44.45466270652415,3.0655564184067337,0.9442719728979132,-1.0916617852998138,-0.0272133030572801,0.5151515151515151,0.2727272727272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_INF_B,elastic_net,66,9.004688925648582,11.661531084221652,0.5880008112746337,0.3780710670155836,0.8560644831867357,0.8226855109204326,0.6666666666666666,0.5151515151515151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
